datetime,baseCurrency,termCurrency,normalRate
2026-02-01T02:02:29Z,USD,BDT,121.7183500000
2026-02-01T04:39:18Z,USD,BDT,121.7183500000
2026-02-01T05:57:59Z,USD,BDT,121.7183500000
2026-02-01T06:55:54Z,USD,BDT,121.7183500000
2026-02-01T07:36:04Z,USD,BDT,121.7183500000
2026-02-01T08:28:20Z,USD,BDT,121.7183500000
2026-02-01T08:58:14Z,USD,BDT,121.7183500000
2026-02-01T09:36:34Z,USD,BDT,121.7183500000
2026-02-01T10:21:39Z,USD,BDT,121.7034250000
2026-02-01T10:52:23Z,USD,BDT,121.7034250000
2026-02-01T11:18:45Z,USD,BDT,121.7034250000
2026-02-01T11:43:11Z,USD,BDT,121.7034250000
2026-02-01T12:41:39Z,USD,BDT,121.7034250000
2026-02-01T13:40:21Z,USD,BDT,121.7034250000
2026-02-01T14:23:06Z,USD,BDT,121.7034250000
2026-02-01T14:51:28Z,USD,BDT,121.7034250000
2026-02-01T15:21:03Z,USD,BDT,121.7034250000
2026-02-01T15:47:05Z,USD,BDT,121.7034250000
2026-02-01T16:25:43Z,USD,BDT,121.7034250000
2026-02-01T16:54:19Z,USD,BDT,121.7034250000
2026-02-01T17:21:09Z,USD,BDT,121.7034250000
2026-02-01T17:50:07Z,USD,BDT,121.7034250000
2026-02-01T18:29:43Z,USD,BDT,121.7034250000
2026-02-01T19:01:56Z,USD,BDT,121.7034250000
2026-02-01T19:43:43Z,USD,BDT,121.7034250000
2026-02-01T20:22:13Z,USD,BDT,121.7034250000
2026-02-01T20:49:44Z,USD,BDT,121.7034250000
2026-02-01T21:20:22Z,USD,BDT,121.7034250000
2026-02-01T21:44:47Z,USD,BDT,121.7034250000
2026-02-01T22:20:18Z,USD,BDT,121.7034250000
2026-02-01T22:50:19Z,USD,BDT,121.7034250000
2026-02-01T23:21:06Z,USD,BDT,121.7034250000
2026-02-01T23:46:48Z,USD,BDT,121.7034250000
2026-02-02T01:54:52Z,USD,BDT,121.7034250000
2026-02-02T04:22:27Z,USD,BDT,121.7034250000
2026-02-02T05:46:22Z,USD,BDT,121.7034250000
2026-02-02T06:58:28Z,USD,BDT,121.7034250000
2026-02-02T07:53:59Z,USD,BDT,121.7034250000
2026-02-02T08:38:52Z,USD,BDT,121.7034250000
2026-02-02T09:43:06Z,USD,BDT,121.6934750000
2026-02-02T10:40:35Z,USD,BDT,121.6934750000
2026-02-02T11:33:08Z,USD,BDT,121.6934750000
2026-02-02T12:52:58Z,USD,BDT,121.6934750000
2026-02-02T14:00:30Z,USD,BDT,121.6934750000
2026-02-02T15:06:29Z,USD,BDT,121.6934750000
2026-02-02T15:57:03Z,USD,BDT,121.6934750000
2026-02-02T16:42:54Z,USD,BDT,121.6934750000
2026-02-02T17:35:24Z,USD,BDT,121.6934750000
2026-02-02T18:38:19Z,USD,BDT,121.6934750000
